Data Lettura;Tipo Lettura; Lettura cumulata ; Lettura puntuale ;Fascia consumo;Fascia fatturazione;Chiave
07/04/2008;Lettura Attivazione; 31.783   ; -     ;F0;F0;2008_02
29/04/2008;Lettura Stimata; 31.949   ; 166   ;F0;F0;2008_03
07/07/2008;Lettura Rilevata; 31.883   ;-66   ;F0;F0;2008_04
11/09/2008;Lettura Stimata; 31.955   ; 72   ;F0;F0;2008_05
04/11/2008;Lettura Stimata; 32.013   ; 58   ;F0;F0;2008_06
15/01/2009;Lettura Stimata; 32.092   ; 79   ;F0;F0;2009_01
10/03/2009;Lettura Stimata; 32.150   ; 58   ;F0;F0;2009_02
05/05/2009;Lettura Stimata; 32.211   ; 61   ;F0;F0;2009_03
24/06/2009;Lettura Rilevata; 32.634   ; 423   ;F0;F0;2009_04
10/09/2009;Lettura Stimata; 32.800   ; 166   ;F0;F0;2009_05
31/10/2009;Lettura Rilevata; 32.987   ; 187   ;F0;F0;2009_06
12/01/2010;Lettura Stimata; 33.187   ; 200   ;F0;F0;2010_01
05/03/2010;Lettura Stimata; 33.329   ; 142   ;F0;F0;2010_02
12/03/2010;Lettura Rilevata; 33.388   ; 59   ;F0;F0;2010_02
03/05/2010;Lettura Stimata; 157   ; 157   ;F0;F0;2010_03
25/06/2010;Lettura Rilevata; 316   ; 159   ;F0;F0;2010_04
13/09/2010;Lettura Stimata; 557   ; 241   ;F0;F0;2010_05
08/11/2010;Lettura Stimata; 725   ; 168   ;F0;F0;2010_05
21/11/2010;Lettura Rilevata; 28   ; 136   ;F0;F0;2010_06
30/11/2010;Lettura Rilevata; 226   ; 9   ;F1;F1;2010_06
30/11/2010;Lettura Rilevata; 273   ; 9   ;F2;F23;2010_06
30/11/2010;Lettura Rilevata; 390   ; 11   ;F3;F23;2010_06
31/12/2010;Lettura Rilevata; 266   ; 40   ;F1;F1;2010_06
31/12/2010;Lettura Rilevata; 314   ; 41   ;F2;F23;2010_06
31/12/2010;Lettura Rilevata; 447   ; 57   ;F3;F23;2010_06
31/01/2011;Lettura Rilevata; 300   ; 34   ;F1;F1;2011_01
31/01/2011;Lettura Rilevata; 358   ; 44   ;F2;F23;2011_01
31/01/2011;Lettura Rilevata; 507   ; 60   ;F3;F23;2011_01
28/02/2011;Lettura Rilevata; 324   ; 24   ;F1;F1;2011_01
28/02/2011;Lettura Rilevata; 396   ; 38   ;F2;F23;2011_01
28/02/2011;Lettura Rilevata; 551   ; 44   ;F3;F23;2011_01
31/03/2011;Lettura Rilevata; 351   ; 27   ;F1;F1;2011_02
31/03/2011;Lettura Rilevata; 438   ; 42   ;F2;F23;2011_02
31/03/2011;Lettura Rilevata; 596   ; 45   ;F3;F23;2011_02
30/04/2011;Lettura Rilevata; 377   ; 26   ;F1;F1;2011_02
30/04/2011;Lettura Rilevata; 475   ; 37   ;F2;F23;2011_02
30/04/2011;Lettura Rilevata; 639   ; 43   ;F3;F23;2011_02
31/05/2011;Lettura Rilevata; 412   ; 35   ;F1;F1;2011_03
31/05/2011;Lettura Rilevata; 537   ; 62   ;F2;F23;2011_03
31/05/2011;Lettura Rilevata; 704   ; 65   ;F3;F23;2011_03
30/06/2011;Lettura Rilevata; 451   ; 39   ;F1;F1;2011_03
30/06/2011;Lettura Rilevata; 603   ; 66   ;F2;F23;2011_03
30/06/2011;Lettura Rilevata; 769   ; 65   ;F3;F23;2011_03
31/07/2011;Lettura Rilevata; 487   ; 36   ;F1;F1;2011_04
31/07/2011;Lettura Rilevata; 676   ; 73   ;F2;F23;2011_04
31/07/2011;Lettura Rilevata; 834   ; 65   ;F3;F23;2011_04
31/08/2011;Lettura Rilevata; 523   ; 36   ;F1;F1;2011_04
31/08/2011;Lettura Rilevata; 726   ; 50   ;F2;F23;2011_04
31/08/2011;Lettura Rilevata; 886   ; 52   ;F3;F23;2011_04
30/09/2011;Lettura Rilevata; 551   ; 28   ;F1;F1;2011_05
30/09/2011;Lettura Rilevata; 767   ; 41   ;F2;F23;2011_05
30/09/2011;Lettura Rilevata; 937   ; 51   ;F3;F23;2011_05
31/10/2011;Lettura Rilevata; 578   ; 27   ;F1;F1;2011_05
31/10/2011;Lettura Rilevata; 813   ; 46   ;F2;F23;2011_05
31/10/2011;Lettura Rilevata; 991   ; 54   ;F3;F23;2011_05
30/11/2011;Lettura Rilevata; 606   ; 28   ;F1;F1;2011_06
30/11/2011;Lettura Rilevata; 853   ; 40   ;F2;F23;2011_06
30/11/2011;Lettura Rilevata; 1.044   ; 53   ;F3;F23;2011_06
31/12/2011;Lettura Rilevata; 649   ; 43   ;F1;F1;2011_06
31/12/2011;Lettura Rilevata; 899   ; 46   ;F2;F23;2011_06
31/12/2011;Lettura Rilevata; 1.101   ; 57   ;F3;F23;2011_06
31/01/2012;Lettura Rilevata; 695   ; 46   ;F1;F1;2012_01
31/01/2012;Lettura Rilevata; 944   ; 45   ;F2;F23;2012_01
31/01/2012;Lettura Rilevata; 1.161   ; 60   ;F3;F23;2012_01
29/02/2012;Lettura Rilevata; 732   ; 37   ;F1;F1;2012_01
29/02/2012;Lettura Rilevata; 991   ; 47   ;F2;F23;2012_01
29/02/2012;Lettura Rilevata; 1.216   ; 55   ;F3;F23;2012_01
31/03/2012;Lettura Rilevata; 761   ; 29   ;F1;F1;2012_02
31/03/2012;Lettura Rilevata; 1.037   ; 46   ;F2;F23;2012_02
31/03/2012;Lettura Rilevata; 1.264   ; 48   ;F3;F23;2012_02
30/04/2012;Lettura Rilevata; 788   ; 27   ;F1;F1;2012_02
30/04/2012;Lettura Rilevata; 1.070   ; 33   ;F2;F23;2012_02
30/04/2012;Lettura Rilevata; 1.321   ; 57   ;F3;F23;2012_02
31/05/2012;Lettura Rilevata; 818   ; 30   ;F1;F1;2012_03
31/05/2012;Lettura Rilevata; 1.104   ; 34   ;F2;F23;2012_03
31/05/2012;Lettura Rilevata; 1.372   ; 51   ;F3;F23;2012_03
30/06/2012;Lettura Rilevata; 847   ; 29   ;F1;F1;2012_03
30/06/2012;Lettura Rilevata; 1.145   ; 41   ;F2;F23;2012_03
30/06/2012;Lettura Rilevata; 1.427   ; 55   ;F3;F23;2012_03
31/07/2012;Lettura Calcolata; 881   ; 34   ;F1;F1;2012_04
31/07/2012;Lettura Calcolata; 1.184   ; 39   ;F2;F23;2012_04
31/07/2012;Lettura Calcolata; 1.482   ; 55   ;F3;F23;2012_04
31/08/2012;Lettura Calcolata; 915   ; 34   ;F1;F1;2012_04
31/08/2012;Lettura Calcolata; 1.223   ; 39   ;F2;F23;2012_04
31/08/2012;Lettura Calcolata; 1.537   ; 55   ;F3;F23;2012_04
30/09/2012;Lettura Calcolata; 949   ; 34   ;F1;F1;2012_05
30/09/2012;Lettura Calcolata; 1.262   ; 39   ;F2;F23;2012_05
30/09/2012;Lettura Calcolata; 1.592   ; 55   ;F3;F23;2012_05
31/10/2012;Lettura Calcolata; 983   ; 34   ;F1;F1;2012_05
31/10/2012;Lettura Calcolata; 1.301   ; 39   ;F2;F23;2012_05
31/10/2012;Lettura Calcolata; 1.647   ; 55   ;F3;F23;2012_05
30/11/2012;Lettura Calcolata; 1.017   ; 34   ;F1;F1;2012_06
30/11/2012;Lettura Calcolata; 1.340   ; 39   ;F2;F23;2012_06
30/11/2012;Lettura Calcolata; 1.702   ; 55   ;F3;F23;2012_06
31/12/2012;Lettura Rilevata; 1.049   ; 32   ;F1;F1;2012_06
31/12/2012;Lettura Rilevata; 1.376   ; 36   ;F2;F23;2012_06
31/12/2012;Lettura Rilevata; 1.756   ; 54   ;F3;F23;2012_06
31/01/2013;Lettura Rilevata; 1.075   ; 26   ;F1;F1;2013_01
31/01/2013;Lettura Rilevata; 1.409   ; 33   ;F2;F23;2013_01
31/01/2013;Lettura Rilevata; 1.799   ; 43   ;F3;F23;2013_01
28/02/2013;Lettura Rilevata; 1.106   ; 31   ;F1;F1;2013_01
28/02/2013;Lettura Rilevata; 1.447   ; 38   ;F2;F23;2013_01
28/02/2013;Lettura Rilevata; 1.841   ; 42   ;F3;F23;2013_01
31/03/2013;Lettura Rilevata; 1.130   ; 24   ;F1;F1;2013_02
31/03/2013;Lettura Rilevata; 1.481   ; 34   ;F2;F23;2013_02
31/03/2013;Lettura Rilevata; 1.882   ; 41   ;F3;F23;2013_02
30/04/2013;Lettura Rilevata; 1.147   ; 17   ;F1;F1;2013_02
